,P4,Cz,F8,T7
653,1.6383995,-2.0110562,6.676512,-1.2644194
654,0.50406754,-3.7021427,4.0313764,-3.4579287
659,-1.4569852,-3.390779,-7.5677266,1.6370493
662,-4.19998,-2.2329173,3.8304038,0.8503877
663,-4.679573,-1.996916,4.3875966,-0.23588674
667,-3.4930327,-4.428793,1.9908527,-2.2524164
668,-3.974277,-4.7518754,6.421062,-2.5346715
670,-2.8821115,-4.8907046,6.8571925,-1.9536856
680,-1.5482953,1.1714512,-2.064386,3.127671
681,-0.9692414,-0.5577511,0.1828904,-0.26565132
687,-2.0756617,-3.1149821,3.2480915,5.1656523
692,-3.2389271,0.3683167,5.845383,2.561076
694,-3.2433717,0.9417177,2.614498,-0.28790542
697,2.4768786,0.5542975,5.3877707,-0.97790384
698,2.868649,1.616617,6.616232,-1.3753463
700,1.7479964,1.9838005,3.9406707,0.3471195
701,2.1617088,1.6541582,0.6545276,0.19955659
707,-0.80426794,-3.9420629,-0.22434331,1.6363626
709,-1.6385239,0.0026014156,0.25862786,1.8386564
716,0.16228622,1.2987127,-2.6833146,-1.8884618
718,1.8270785,-1.5952797,-0.84261024,0.5761608
722,0.4731908,-1.2520093,-1.0119908,-0.13677602
732,-2.1626217,2.2008297,1.1198521,-2.0812156
733,-2.0844932,0.10985362,2.4634857,0.06255047
734,-2.1938012,-1.4427308,5.2587395,1.0160037
741,-1.1226815,1.8911545,1.290935,2.4162197
748,0.41451886,-4.187377,1.855555,-4.1175804
753,-0.3286536,1.7491025,5.4433603,1.0765916
755,-0.27211556,0.6573891,4.412554,0.87234753
758,0.31346545,2.0642688,-1.4718264,0.9331587
761,3.147925,1.9685109,-5.0434656,1.7345259
764,-2.537485,0.21816231,-0.7737693,-1.171844
767,1.5211093,0.8094066,-0.3968374,-4.2753105
768,-0.50494313,-1.0491041,0.29221898,-4.0394597
769,-3.3572366,-1.9819808,2.308063,-3.8656282
770,-4.0253673,-2.0220559,3.7713335,-3.8572066
772,0.2377364,1.0351025,6.639928,-2.505761
777,3.3878074,3.1210468,0.33959234,1.5714744
788,-8.76147,-7.496758,1.6725512,-1.1751021
789,-7.0625153,-5.676381,0.90651566,-0.36227345
