,P4,Cz,F8,T7
283,0.38042614249350826,0.4253832321906811,,
284,0.3584145839923277,0.4246817786277351,,0.5589595753692582
285,0.3149422631886187,0.4011159125444862,,
286,0.25121185086422526,0.33833136069732217,0.34871580071704,0.5176282351146133
287,,,0.35289861612921253,0.4618437492784194
288,0.1979792635342774,0.23808629547636934,0.3820253428067492,0.4298903608047336
289,,0.1958658045025118,0.4089933488730896,0.4254085910895275
290,0.1711692629453087,0.17414057427894888,0.4041942902947763,0.4169687352972884
291,0.18359556116710476,0.19977322405912187,,0.4034617689368091
292,0.21420400754284966,0.23159450353693475,0.4080653223269337,
293,0.2439105210624804,0.2675206223109483,,0.37234662880991404
294,0.2618446189113035,,,0.4093431093239388
295,0.2705931731768233,0.34521866892859476,0.4025703792103444,
296,,0.34952308957232425,0.4116959292773263,0.47944730972482885
297,,0.34445674779598856,0.4140106742260252,0.5190623626974084
298,0.3794714535416699,0.32836352139534203,0.401647543601956,0.5410184977457672
299,,0.3087338301892605,,0.5578356970591332
300,0.42676651216474476,0.2980343043670053,,0.5773597964731559
301,0.44127807896941995,0.30551884439031085,0.3311296323680766,
302,0.39155322470472176,0.331008596986098,0.3378016891482918,0.547689003101864
303,0.3044847639996041,0.30803855766372057,,
304,0.2536308136375785,0.22330403403885615,,0.4508691320774714
305,0.2460511487215931,0.16723847377935433,0.3609466123387548,
306,0.22854534901358875,0.16474334342625793,,0.4051019139435379
307,0.20099496465569758,,0.32537691228588983,0.3700832271251335
308,,0.2296702305829902,0.34196844601845516,0.35695334739474194
309,,0.21825467771063511,0.36278782600851933,0.3484616309783546
310,,0.21233546859738542,,0.3646765386439224
311,,,0.39694920477009665,0.4012207270884329
312,0.2240907266665803,,0.3899822495354398,
313,0.27021978462919594,,,0.49562242151272545
314,0.3302367454151478,0.4099526073951015,0.4022600094256901,0.5328732755568465
315,0.38971253118098753,,0.4051215537165288,0.5343385301384195
316,0.4160874255704104,,0.3828271776705638,0.49068301018945315
317,0.4066511641368675,0.510428001517889,,0.45363829816732726
318,,0.4852007507031289,,0.459859175359817
319,0.42032446246153815,0.4058120729870207,0.31715185988106215,
320,0.42110511297065567,0.3440448676133788,,0.4896226058908378
321,0.425896538276917,0.3557993383588777,,
322,0.433685605683309,0.4344697009461033,0.3340614319363642,0.5303175366312385
323,0.41600019850230313,0.5010347930341075,0.3418972157235857,0.5573322494387624
324,0.37949350511638436,0.4969566356846794,0.3322829208827321,0.583710632423545
325,0.33428259605342164,,0.322571688875127,0.5886920129011604
326,0.3015581612162487,0.4690063408224247,0.3326763024842038,0.5961477503335596
327,0.29240470546039427,0.48391557440767957,0.3296756683147513,0.6116437672114055
328,,,0.30325596376377717,0.6163665168844963
329,0.3075330991747853,0.4484315087303722,0.2932137666575529,0.5868631799087997
330,,0.4198819596053628,0.3150994378712895,0.5320141030475989
331,0.40160326967998144,0.4256634699263803,0.33218498096850196,0.5090186381066227
332,,0.4426158148019206,0.32703477508150236,0.48533643306600766
333,,0.407492249926716,0.32655799481676095,
334,,0.349529286243633,0.3363652845090469,0.36889489607832904
335,0.30200187263069134,0.3322327352584906,0.3559996646303367,0.3494066402980603
336,,0.3589683258218009,,0.34091320286812354
337,,,0.3811699996921315,0.3377261226553878
338,0.27665358217579716,0.41075713291106697,0.3578930726816907,
339,0.3098381858120295,0.42720542692995,0.35276287939859297,0.3720449079840628
340,0.3617018410623781,,0.3568611539751837,0.43469064039729743
341,0.381745846558688,0.45045724938781806,0.34777584596672084,
342,,0.4483409231639799,0.3242403559780644,0.5908737507893996
343,0.354672069480971,,,0.6041755183556048
344,0.3700802768000126,0.3927069996835133,0.29069280085461696,0.5630129322849248
345,0.3880155033637484,0.34151264808156434,0.29125359403722745,
346,0.4022055428478276,,0.3121377520682918,0.48756736601115763
347,,,0.3382395160805444,0.4554582648664721
348,0.33192352989742807,0.26255167117827066,0.34619151929889874,0.43485859526552506
349,0.2823417663859193,0.2714128479581195,0.3396704823490428,
350,0.2722110880750016,,,
351,0.27478684922174956,0.298445507942511,0.34934394684672215,0.35874242990752914
352,0.25883677742491135,0.2767786811889799,0.3708370524950924,0.3129507468718374
353,0.25513120543553597,0.24542424928348935,,0.32776509650938324
354,,0.26151447761459634,0.37822545718493744,0.3810360901422864
355,0.2175019361206812,0.3018039414119116,0.3438165302166687,
356,,,0.3169860110394948,0.4242356433521654
357,0.14414976964246798,0.38596753477583673,0.3306328198211241,
358,0.12822943331070388,0.3406695036519818,0.35293294529098534,0.4756643171748149
359,0.1866783388498703,0.312832064470555,0.359428189878813,0.490558852849842
360,0.258692877867468,0.34733679179027044,,0.49952777083356803
361,0.27972164291701773,0.39080413910658085,0.3535669835432913,0.5217276689200551
362,0.32508559610924614,0.41661443360069633,,0.54999266522191
363,0.4288300936157001,0.45045770907324195,,0.563134960743269
364,,0.4894725258403816,0.30638999964596325,0.5679391606348716
365,,0.5019836728446243,0.30490733156686056,0.5718888377189805
366,,,0.30775963145728386,0.5786906903946607
367,0.515486968370351,0.455941311777026,0.3304793983941241,
368,0.43320680421358226,0.3506315046488799,0.3545234968584092,0.5066370976139848
369,0.3969539620159487,0.26965670852229257,0.34672629550324086,0.47939116033096374
370,0.41016358000864406,0.2536765161750548,0.31880205127520195,0.4805359566826706
371,0.3856592020591768,0.2768683618830969,0.3109726137310154,0.5108147875317205
372,,,0.3176837201312142,0.5367942932397024
373,0.3396016196240352,,0.3387448906952537,0.5117074797525643
374,0.3167545103843707,0.41094628858637533,0.36288735167088715,0.47151929762287875
375,0.29619812436431947,0.3961982124881937,0.35485682426860604,0.45459676438007884
376,0.30279601203182305,0.3864640277193623,,0.44162760430742687
377,0.29118862079570074,0.4053186256024823,,0.4128837321278543
378,0.2445799706820032,,,
379,0.18025325823898952,0.3657965585007835,0.35235676708851804,0.39013240603818067
380,0.12466676777713576,0.2890657357189068,0.3611754425756875,0.39534106043825346
381,0.12136433189181356,0.2227471415579771,,0.404296605096357
382,0.1417813294353773,,0.3606660005949033,
383,,0.16622371215398413,0.36444427871040996,0.4254924858670971
384,0.26292887700928613,0.23082799870914103,,
385,0.36032615660905637,0.27716925733157516,0.3442753025737604,0.5011573798067339
386,0.4016643875110548,0.2842146689907614,0.33456468290588093,0.5635794055588086
387,0.4001763421711739,0.30086637144276684,,0.6154463666886768
388,,0.3296946128931007,0.3299458475859267,0.6177147853196114
389,0.445069310746075,0.3501370220614916,0.3310578590029227,0.5769595790264923
390,0.46739324255728315,0.3730630351615251,0.3217112347578656,0.5303854569600189
391,,0.37542618430071517,0.2980315314257974,0.4897005135652738
392,,,,0.4810909332152301
393,0.305372915919773,0.35053631431915333,0.265262148482897,
394,0.3177446428406973,0.3285726332409736,0.2774716237691483,0.4814516644803458
395,0.3513440072671723,0.31641354732797866,0.29753298265201666,0.48086625971704966
396,0.36886793599536816,,0.3057594120722306,
397,0.36649277420104487,,0.31201738832262704,
398,0.3926202187627512,0.487328029658039,0.3085079978670194,
399,0.4468425477575766,,0.3008741230593177,0.48821355003501915
400,0.5129304129964116,0.5989595586015714,0.29162734763456544,0.5302789688934509
401,,0.6111628723481435,0.277532258213286,0.5504584644070496
402,0.5161286498265302,0.5961435332970094,0.27797329678143157,0.5125178046117609
403,,0.5595196599262451,0.28224031531948945,0.4978165348812959
404,0.4122698078018781,,0.2840543532116798,0.5254977884056768
405,0.37169558177034046,0.3712624428138998,0.2932350725503469,0.505478099088758
406,0.3316702400952033,,0.3016274224559844,0.4354920909951025
407,,0.24971197341562965,0.32406087545934514,0.4007089788372241
408,0.22825964991354333,0.19822921762800794,0.361513249217522,
409,0.17793976256171126,0.1732631674303034,0.3796583028239081,0.4818638240817772
410,0.17815537328782716,0.2147914271278247,,0.5100968274565246
411,,0.322584626942118,,0.5497951113778458
412,,0.46457430322156196,,0.606035486321042
413,,0.5759366117472462,0.3150256704502864,0.6294538250672694
414,0.3935777061063438,,0.33123458235810255,
415,0.3678956213980969,0.5304171673597966,0.3200050464673809,0.6151787336288415
416,0.32426305045737996,0.4106063605375822,0.2954027810030562,
417,0.30297811971160005,0.3447121134374621,0.2727653092154704,0.5077393024845491
418,0.3095740032205062,,,0.5379931977999428
419,0.3055613344755678,,0.2969649299025916,0.5589374803625491
420,0.3062683837828598,0.2826095545331394,0.31145583471204774,0.5790982125178945
421,0.3165997742397441,0.32335405150451624,0.2944273261677259,0.5918044029419067
422,0.3259212309309041,,,
423,0.3292031168256135,0.32480053160100447,0.2935530312790958,0.4748737831080944
424,0.3261926388217998,0.31032939398584075,0.2911954616262589,0.40687843442604155
425,0.3394824482355467,,0.3094459571896132,0.39952327693616235
426,0.3589850860210741,0.3281660570701219,0.32385463742578746,0.43509534730927585
427,0.3578238314428176,0.3742697874174199,,0.44707105724029605
428,0.3291327685927979,0.40439157653341307,,0.42533230364115304
429,0.3024144456754917,0.3999691953122734,0.32854211862244803,0.3896434247574212
430,0.3081765102088968,0.4112397808683567,0.32747907289064315,0.3617806294066168
431,0.325369229237525,0.434711270289056,0.3247090864529476,
432,0.33233025869536553,0.42108057240528174,0.34089524385506553,
433,0.3198854281535626,0.3779579324464244,0.3662899600129355,0.30333912160196563
